Channel,nb_logs,pct,timestamp
Application,393,8.48,2026-08-07T00:09:51.290187
Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant,4,0.09,2026-08-07T00:09:51.290187
Microsoft-Windows-Application-Experience/Program-Telemetry,7,0.15,2026-08-07T00:09:51.290187
Microsoft-Windows-Bits-Client/Operational,11,0.24,2026-08-07T00:09:51.290187
Microsoft-Windows-PowerShell/Operational,6,0.13,2026-08-07T00:09:51.290187
Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational,61,1.32,2026-08-07T00:09:51.290187
Microsoft-Windows-Sysmon/Operational,2401,51.82,2026-08-07T00:09:51.290187
Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational,228,4.92,2026-08-07T00:09:51.290187
Microsoft-Windows-WinRM/Operational,7,0.15,2026-08-07T00:09:51.290187
Microsoft-Windows-Winsock-WS2HELP/Operational,2,0.04,2026-08-07T00:09:51.290187
Security,1496,32.29,2026-08-07T00:09:51.290187
System,17,0.37,2026-08-07T00:09:51.290187
